,Unnamed: 0,C_Neigh,N_Neigh,Neigh_Lat,Neigh_Long,Venue,Venue_Lat,Venue_Long,Venue_Category
160,160,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Zona d'Ombra,41.38279047956045,2.1755227546044917,Wine Bar
161,161,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bornet,41.384811555012504,2.1802677651843214,Café
162,162,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Black Remedy,41.38244984198413,2.177744507789612,Coffee Shop
163,163,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bodega Vasconia,41.38105182259174,2.179933046904865,Spanish Restaurant
164,164,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Xurrería Manuel San Román,41.38224110661688,2.1750853482750383,Snack Place
165,165,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Wok to Walk,41.383202173379615,2.177733117239987,Noodle House
166,166,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Sensi,41.38038824752991,2.179988551993155,Tapas Restaurant
167,167,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bubó Degustacions,41.38314369744762,2.1819638783845203,Dessert Shop
168,168,02,El Barri Gotic,41.382940000000005,2.1785490000000003,H10 Montcada,41.38421805105797,2.178449439853124,Hotel
169,169,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Continuarà Còmics,41.38477446917744,2.17756779128518,Comic Shop
170,170,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Dionisos Quick Greek,41.380537545183145,2.1772970354280017,Greek Restaurant
171,171,02,El Barri Gotic,41.382940000000005,2.1785490000000003,GILDA by Belgious,41.38073065016171,2.1801888116338928,Mediterranean Restaurant
172,172,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Grasshopper Ramen Bar,41.385103454267465,2.1793587429051384,Ramen Restaurant
173,173,02,El Barri Gotic,41.382940000000005,2.1785490000000003,El Xampanyet,41.3845584973843,2.1817640442882618,Tapas Restaurant
174,174,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Museu Europeu d'Art Modern (MEAM),41.38506320402511,2.1804671127642288,Art Museum
175,175,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Senyor Parellada,41.3837633894905,2.1800761017359616,Mediterranean Restaurant
176,176,02,El Barri Gotic,41.382940000000005,2.1785490000000003,The Pan's Club,41.385068529989816,2.1793169423604897,Vegetarian / Vegan Restaurant
177,177,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Buenas Migas,41.38382793455762,2.177268555281503,Italian Restaurant
178,178,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Sky Bar,41.38512890971168,2.177920921516208,Hotel Bar
179,179,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Be Chocolat,41.382597251818865,2.1747248202957707,Dessert Shop
180,180,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bodega La Puntual,41.38451991309218,2.181798525690234,Tapas Restaurant
181,181,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Macchina Pasta Bar,41.3801509166099,2.17684675323,Italian Restaurant
182,182,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Mannà Gelats,41.38307898657057,2.174487680308488,Ice Cream Shop
183,183,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Habana Vieja,41.38474767596967,2.1803225949040983,Cuban Restaurant
184,184,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bar del Pla,41.385700510607954,2.18008555820973,Spanish Restaurant
185,185,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bo de B!,41.38133168585264,2.1811666944685766,Sandwich Place
186,186,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Plata,41.380407124532816,2.1806252002716064,Spanish Restaurant
187,187,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Palau Dalmases - Espai Barroc,41.38462112645296,2.1816238612860954,Performing Arts Venue
188,188,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Manual Alpargatera,41.38154107517306,2.176072332560532,Shoe Store
189,189,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Happy Pills,41.384455133238646,2.174877735244996,Candy Store
190,190,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Casa Gispert,41.384105175733154,2.1819357568814257,Gourmet Shop
191,191,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Koku Kitchen Ramen,41.379898,2.1792042,Ramen Restaurant
192,192,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Etnia,41.383427000000005,2.182201,Optical Shop
193,193,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Sor Rita,41.380892488704966,2.180908106608379,Cocktail Bar
194,194,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Tapeo,41.3845751918247,2.18178057142205,Tapas Restaurant
195,195,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bacoa Little,41.385643282068855,2.17876865791154,Burger Joint
196,196,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Veintinueve,41.38061642087877,2.1783409358462174,Women's Store
197,197,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Gocce di Latte,41.383112,2.182811,Ice Cream Shop
198,198,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Pizza Pazza,41.38096978615803,2.1803300855005743,Pizza Place
199,199,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Casa Mari y Rufo,41.3859150752106,2.178205718756188,Spanish Restaurant
200,200,03,La Barceloneta,41.37905,2.191261,Baluard Barceloneta,41.38004687981699,2.189249637101365,Bakery
201,201,03,La Barceloneta,41.37905,2.191261,Platja de la Barceloneta (Playa de la Barceloneta),41.37961014544736,2.1930384635925293,Beach
202,202,03,La Barceloneta,41.37905,2.191261,NAP Mar,41.37753029604167,2.1900548798841104,Pizza Place
203,203,03,La Barceloneta,41.37905,2.191261,La Cova Fumada,41.379253905268655,2.1892540978203394,Tapas Restaurant
204,204,03,La Barceloneta,41.37905,2.191261,Somorrostro,41.37915630767672,2.189099682467895,Spanish Restaurant
205,205,03,La Barceloneta,41.37905,2.191261,El Xiringo,41.379478716018546,2.1907851605479958,Wine Bar
206,206,03,La Barceloneta,41.37905,2.191261,BRO,41.380213875422356,2.1890065281702524,Burger Joint
207,207,03,La Barceloneta,41.37905,2.191261,Bodega Fermín,41.37930321199982,2.189544649698038,Beer Bar
208,208,03,La Barceloneta,41.37905,2.191261,Surf House Barcelona,41.37739616411243,2.1909063898307197,Bar
209,209,03,La Barceloneta,41.37905,2.191261,La Roseta,41.37779240448484,2.190246208757311,Coffee Shop
210,210,03,La Barceloneta,41.37905,2.191261,La Malandrina,41.378128929548396,2.1885672096926116,Steakhouse
211,211,03,La Barceloneta,41.37905,2.191261,Bacoa Barceloneta,41.376675,2.190202,Burger Joint
212,212,03,La Barceloneta,41.37905,2.191261,Plaça de la Barceloneta,41.3797389508097,2.1881353855133057,Plaza
213,213,03,La Barceloneta,41.37905,2.191261,Bar Electricitat,41.379361965796406,2.1899321446276105,Tapas Restaurant
